iter	MultiClass
0	1.652360349
1	1.529492111
2	1.408594439
3	1.315820299
4	1.227381981
5	1.147078349
6	1.078709457
7	1.023392999
8	0.9688285784
9	0.9227961657
10	0.8754106708
11	0.8257937027
12	0.792434656
13	0.7477283088
14	0.7176504505
15	0.6895411032
16	0.6566417246
17	0.6270188379
18	0.6016890307
19	0.5732577262
20	0.5467823392
21	0.5271918128
22	0.5134053835
23	0.4945969311
24	0.4781425767
25	0.466890335
26	0.4571350584
27	0.4400981978
28	0.4265631082
29	0.4135495648
30	0.4000989364
31	0.3894037983
32	0.3794036934
33	0.3706970516
34	0.3624388224
35	0.3520386746
36	0.3438134405
37	0.3359268134
38	0.3264595804
39	0.3203052581
40	0.3119977642
41	0.3045715016
42	0.298719935
43	0.2930700478
44	0.2870294664
45	0.2805907068
46	0.2729802675
47	0.2667647703
48	0.2628469005
49	0.2583934873
50	0.2535458719
51	0.2483197403
52	0.2428010774
53	0.237947519
54	0.2319015659
55	0.2280007735
56	0.2236945065
57	0.2192949674
58	0.2151105068
59	0.2114035187
60	0.2071232787
61	0.2044243059
62	0.2013924265
63	0.1986597463
64	0.1952154523
65	0.1918063456
66	0.1886829352
67	0.1848698286
68	0.1811892687
69	0.1779708957
70	0.174807582
71	0.1719602955
72	0.1697369944
73	0.1670716198
74	0.1646800545
75	0.1616775751
76	0.1596009751
77	0.1575461114
78	0.1553564208
79	0.1529683821
80	0.1508248571
81	0.1484380421
82	0.1458689708
83	0.1435185487
84	0.1413194777
85	0.1393304112
86	0.1373984836
87	0.1352904376
88	0.1339852332
89	0.1318944124
90	0.1304422695
91	0.1286799899
92	0.1268831963
93	0.1249751487
94	0.1232323533
95	0.1220023965
96	0.1206077675
97	0.1192605789
98	0.1176364519
99	0.1162493831
