iter	Passed	Remaining
0	1	155
1	2	138
2	4	130
3	5	125
4	6	117
5	7	116
6	8	114
7	9	112
8	11	111
9	12	109
10	13	108
11	14	103
12	15	102
13	16	101
14	17	100
15	18	99
16	20	97
17	21	96
18	22	95
19	23	94
20	24	93
21	25	91
22	27	90
23	28	89
24	29	88
25	30	87
26	31	86
27	33	84
28	34	83
29	35	82
30	36	81
31	37	79
32	38	78
33	39	77
34	41	76
35	42	74
36	43	73
37	44	72
38	45	71
39	46	70
40	47	68
41	49	67
42	50	66
43	51	65
44	52	64
45	53	63
46	55	62
47	56	60
48	57	59
49	58	58
50	59	57
51	61	56
52	62	55
53	63	53
54	64	52
55	65	51
56	66	50
57	68	49
58	69	48
59	70	46
60	71	45
61	72	44
62	73	43
63	75	42
64	76	41
65	77	39
66	78	38
67	79	37
68	80	36
69	82	35
70	83	33
71	84	32
72	85	31
73	86	30
74	87	29
75	89	28
76	90	26
77	91	25
78	92	24
79	93	23
80	94	22
81	96	21
82	97	19
83	98	18
84	99	17
85	100	16
86	101	15
87	102	14
88	104	12
89	105	11
90	106	10
91	107	9
92	108	8
93	110	7
94	111	5
95	112	4
96	113	3
97	114	2
98	115	1
99	117	0
